session,bbid,ward,alderperson,vote
2018-2019,179,7,Jack Coatar,Aye
2018-2019,179,10,Joseph Vollmer,Aye
2018-2019,179,11,Sarah Martin,Aye
2018-2019,179,12,Larry Arnowitz,Aye
2018-2019,179,13,Beth Murphy,Aye
2018-2019,179,14,Carol Howard,Aye
2018-2019,179,15,Megan E. Green,Aye
2018-2019,179,16,Tom Oldenburg,Aye
2018-2019,179,17,Joseph D Roddy,Aye
2018-2019,179,18,Terry Kennedy,Aye
2018-2019,179,19,Marlene E Davis,Aye
2018-2019,179,20,Cara Spencer,Aye
2018-2019,179,22,Jeffrey L Boyd,Aye
2018-2019,179,23,Joseph Vaccaro,Aye
2018-2019,179,24,Scott Ogilvie,Aye
2018-2019,179,25,Shane Cohn,Aye
2018-2019,179,27,Pam Boyd,Aye
2018-2019,179,28,Heather Navarro,Aye
2018-2019,179,President,Lewis E Reed,Aye
2018-2019,179,3,Brandon Bosley,Did Not Vote
2018-2019,179,9,Dan Guenther,Did Not Vote
2018-2019,179,21,John Collins-Muhammad,Did Not Vote
2018-2019,179,8,Annie Rice,Absent
2018-2019,179,26,Seat is vacant,Vacant Seat
2018-2019,181,1,Sharon Tyus,Aye
2018-2019,181,2,Lisa Middlebrook,Aye
2018-2019,181,4,Samuel L Moore,Aye
2018-2019,181,5,Tammika Hubbard,Aye
2018-2019,181,6,Christine Ingrassia,Aye
2018-2019,181,7,Jack Coatar,Aye
2018-2019,181,10,Joseph Vollmer,Aye
2018-2019,181,11,Sarah Martin,Aye
2018-2019,181,12,Larry Arnowitz,Aye
2018-2019,181,13,Beth Murphy,Aye
2018-2019,181,14,Carol Howard,Aye
2018-2019,181,15,Megan E. Green,Aye
2018-2019,181,16,Tom Oldenburg,Aye
2018-2019,181,17,Joseph D Roddy,Aye
2018-2019,181,18,Terry Kennedy,Aye
2018-2019,181,19,Marlene E Davis,Aye
2018-2019,181,20,Cara Spencer,Aye
2018-2019,181,22,Jeffrey L Boyd,Aye
2018-2019,181,23,Joseph Vaccaro,Aye
2018-2019,181,24,Scott Ogilvie,Aye
2018-2019,181,25,Shane Cohn,Aye
2018-2019,181,27,Pam Boyd,Aye
2018-2019,181,28,Heather Navarro,Aye
2018-2019,181,President,Lewis E Reed,Aye
2018-2019,181,3,Brandon Bosley,Did Not Vote
2018-2019,181,9,Dan Guenther,Did Not Vote
2018-2019,181,21,John Collins-Muhammad,Did Not Vote
2018-2019,181,8,Annie Rice,Absent
2018-2019,181,26,Seat is vacant,Vacant Seat
2018-2019,167,1,Sharon Tyus,Aye
2018-2019,167,2,Lisa Middlebrook,Aye
2018-2019,167,3,Brandon Bosley,Aye
2018-2019,167,4,Samuel L Moore,Aye
2018-2019,167,5,Tammika Hubbard,Aye
2018-2019,167,6,Christine Ingrassia,Aye
2018-2019,167,7,Jack Coatar,Aye
2018-2019,167,8,Annie Rice,Aye
2018-2019,167,9,Dan Guenther,Aye
2018-2019,167,11,Sarah Martin,Aye
2018-2019,167,12,Larry Arnowitz,Aye
2018-2019,167,13,Beth Murphy,Aye
2018-2019,167,14,Carol Howard,Aye
2018-2019,167,15,Megan E. Green,Aye
2018-2019,167,16,Tom Oldenburg,Aye
2018-2019,167,17,Joseph D Roddy,Aye
2018-2019,167,18,Terry Kennedy,Aye
2018-2019,167,19,Marlene E Davis,Aye
2018-2019,167,20,Cara Spencer,Aye
2018-2019,167,21,John Collins-Muhammad,Aye
2018-2019,167,22,Jeffrey L Boyd,Aye
2018-2019,167,23,Joseph Vaccaro,Aye
2018-2019,167,24,Scott Ogilvie,Aye
2018-2019,167,25,Shane Cohn,Aye
2018-2019,167,27,Pam Boyd,Aye
2018-2019,167,28,Heather Navarro,Aye
2018-2019,167,President,Lewis E Reed,Aye
2018-2019,167,10,Joseph Vollmer,Did Not Vote
2018-2019,167,26,Seat is vacant,Vacant Seat
2018-2019,172,1,Sharon Tyus,Aye
2018-2019,172,2,Lisa Middlebrook,Aye
2018-2019,172,3,Brandon Bosley,Aye
2018-2019,172,4,Samuel L Moore,Aye
2018-2019,172,5,Tammika Hubbard,Aye
2018-2019,172,6,Christine Ingrassia,Aye
2018-2019,172,7,Jack Coatar,Aye
2018-2019,172,8,Annie Rice,Aye
2018-2019,172,9,Dan Guenther,Aye
2018-2019,172,11,Sarah Martin,Aye
2018-2019,172,12,Larry Arnowitz,Aye
2018-2019,172,13,Beth Murphy,Aye
2018-2019,172,14,Carol Howard,Aye
2018-2019,172,15,Megan E. Green,Aye
2018-2019,172,16,Tom Oldenburg,Aye
2018-2019,172,17,Joseph D Roddy,Aye
2018-2019,172,18,Terry Kennedy,Aye
2018-2019,172,19,Marlene E Davis,Aye
2018-2019,172,20,Cara Spencer,Aye
2018-2019,172,21,John Collins-Muhammad,Aye
2018-2019,172,22,Jeffrey L Boyd,Aye
2018-2019,172,23,Joseph Vaccaro,Aye
2018-2019,172,24,Scott Ogilvie,Aye
2018-2019,172,25,Shane Cohn,Aye
2018-2019,172,27,Pam Boyd,Aye
2018-2019,172,28,Heather Navarro,Aye
2018-2019,172,President,Lewis E Reed,Aye
2018-2019,172,10,Joseph Vollmer,Did Not Vote
2018-2019,172,26,Seat is vacant,Vacant Seat
2018-2019,174,1,Sharon Tyus,Aye
2018-2019,174,2,Lisa Middlebrook,Aye
2018-2019,174,3,Brandon Bosley,Aye
2018-2019,174,4,Samuel L Moore,Aye
2018-2019,174,5,Tammika Hubbard,Aye
2018-2019,174,6,Christine Ingrassia,Aye
2018-2019,174,7,Jack Coatar,Aye
2018-2019,174,8,Annie Rice,Aye
2018-2019,174,9,Dan Guenther,Aye
2018-2019,174,11,Sarah Martin,Aye
2018-2019,174,12,Larry Arnowitz,Aye
2018-2019,174,13,Beth Murphy,Aye
2018-2019,174,14,Carol Howard,Aye
2018-2019,174,15,Megan E. Green,Aye
2018-2019,174,16,Tom Oldenburg,Aye
2018-2019,174,17,Joseph D Roddy,Aye
2018-2019,174,18,Terry Kennedy,Aye
2018-2019,174,19,Marlene E Davis,Aye
2018-2019,174,20,Cara Spencer,Aye
2018-2019,174,21,John Collins-Muhammad,Aye
2018-2019,174,22,Jeffrey L Boyd,Aye
2018-2019,174,23,Joseph Vaccaro,Aye
2018-2019,174,24,Scott Ogilvie,Aye
2018-2019,174,25,Shane Cohn,Aye
2018-2019,174,27,Pam Boyd,Aye
2018-2019,174,28,Heather Navarro,Aye
2018-2019,174,President,Lewis E Reed,Aye
2018-2019,174,10,Joseph Vollmer,Did Not Vote
2018-2019,174,26,Seat is vacant,Vacant Seat
2018-2019,29,1,Sharon Tyus,Aye
2018-2019,29,2,Lisa Middlebrook,Aye
2018-2019,29,3,Brandon Bosley,Aye
2018-2019,29,4,Samuel L Moore,Aye
2018-2019,29,5,Tammika Hubbard,Aye
2018-2019,29,6,Christine Ingrassia,Aye
2018-2019,29,7,Jack Coatar,Aye
2018-2019,29,8,Annie Rice,Aye
2018-2019,29,9,Dan Guenther,Aye
2018-2019,29,10,Joseph Vollmer,Aye
2018-2019,29,11,Sarah Martin,Aye
2018-2019,29,12,Larry Arnowitz,Aye
2018-2019,29,13,Beth Murphy,Aye
2018-2019,29,14,Carol Howard,Aye
2018-2019,29,15,Megan E. Green,Aye
2018-2019,29,16,Tom Oldenburg,Aye
2018-2019,29,17,Joseph D Roddy,Aye
2018-2019,29,18,Terry Kennedy,Aye
2018-2019,29,19,Marlene E Davis,Aye
2018-2019,29,22,Jeffrey L Boyd,Aye
2018-2019,29,23,Joseph Vaccaro,Aye
2018-2019,29,24,Scott Ogilvie,Aye
2018-2019,29,25,Shane Cohn,Aye
2018-2019,29,27,Pam Boyd,Aye
2018-2019,29,28,Heather Navarro,Aye
2018-2019,29,President,Lewis E Reed,Aye
2018-2019,29,21,John Collins-Muhammad,Did Not Vote
2018-2019,29,26,Frank Williamson,Did Not Vote
2018-2019,29,20,Cara Spencer,Absent
2018-2019,28,1,Sharon Tyus,Aye
2018-2019,28,2,Lisa Middlebrook,Aye
2018-2019,28,3,Brandon Bosley,Aye
2018-2019,28,4,Samuel L Moore,Aye
2018-2019,28,5,Tammika Hubbard,Aye
2018-2019,28,6,Christine Ingrassia,Aye
2018-2019,28,7,Jack Coatar,Aye
2018-2019,28,8,Annie Rice,Aye
2018-2019,28,9,Dan Guenther,Aye
2018-2019,28,10,Joseph Vollmer,Aye
2018-2019,28,11,Sarah Martin,Aye
2018-2019,28,12,Larry Arnowitz,Aye
2018-2019,28,13,Beth Murphy,Aye
2018-2019,28,14,Carol Howard,Aye
2018-2019,28,15,Megan E. Green,Aye
2018-2019,28,16,Tom Oldenburg,Aye
2018-2019,28,17,Joseph D Roddy,Aye
2018-2019,28,18,Terry Kennedy,Aye
2018-2019,28,19,Marlene E Davis,Aye
2018-2019,28,22,Jeffrey L Boyd,Aye
2018-2019,28,23,Joseph Vaccaro,Aye
2018-2019,28,24,Scott Ogilvie,Aye
2018-2019,28,25,Shane Cohn,Aye
2018-2019,28,27,Pam Boyd,Aye
2018-2019,28,28,Heather Navarro,Aye
2018-2019,28,President,Lewis E Reed,Aye
2018-2019,28,21,John Collins-Muhammad,Did Not Vote
2018-2019,28,26,Frank Williamson,Did Not Vote
2018-2019,28,20,Cara Spencer,Absent
2018-2019,51,1,Sharon Tyus,Aye
2018-2019,51,2,Lisa Middlebrook,Aye
2018-2019,51,3,Brandon Bosley,Aye
2018-2019,51,4,Samuel L Moore,Aye
2018-2019,51,5,Tammika Hubbard,Aye
2018-2019,51,6,Christine Ingrassia,Aye
2018-2019,51,7,Jack Coatar,Aye
2018-2019,51,8,Annie Rice,Aye
2018-2019,51,9,Dan Guenther,Aye
2018-2019,51,10,Joseph Vollmer,Aye
2018-2019,51,11,Sarah Martin,Aye
2018-2019,51,12,Larry Arnowitz,Aye
2018-2019,51,13,Beth Murphy,Aye
2018-2019,51,14,Carol Howard,Aye
2018-2019,51,15,Megan E. Green,Aye
2018-2019,51,16,Tom Oldenburg,Aye
2018-2019,51,17,Joseph D Roddy,Aye
2018-2019,51,18,Terry Kennedy,Aye
2018-2019,51,19,Marlene E Davis,Aye
2018-2019,51,22,Jeffrey L Boyd,Aye
2018-2019,51,23,Joseph Vaccaro,Aye
2018-2019,51,24,Scott Ogilvie,Aye
2018-2019,51,25,Shane Cohn,Aye
2018-2019,51,27,Pam Boyd,Aye
2018-2019,51,28,Heather Navarro,Aye
2018-2019,51,President,Lewis E Reed,Aye
2018-2019,51,21,John Collins-Muhammad,Did Not Vote
2018-2019,51,26,Frank Williamson,Did Not Vote
2018-2019,51,20,Cara Spencer,Absent
2018-2019,72,1,Sharon Tyus,Aye
2018-2019,72,2,Lisa Middlebrook,Aye
2018-2019,72,3,Brandon Bosley,Aye
2018-2019,72,4,Samuel L Moore,Aye
2018-2019,72,5,Tammika Hubbard,Aye
2018-2019,72,6,Christine Ingrassia,Aye
2018-2019,72,7,Jack Coatar,Aye
2018-2019,72,8,Annie Rice,Aye
2018-2019,72,9,Dan Guenther,Aye
2018-2019,72,10,Joseph Vollmer,Aye
2018-2019,72,11,Sarah Martin,Aye
2018-2019,72,12,Larry Arnowitz,Aye
2018-2019,72,13,Beth Murphy,Aye
2018-2019,72,14,Carol Howard,Aye
2018-2019,72,15,Megan E. Green,Aye
2018-2019,72,16,Tom Oldenburg,Aye
2018-2019,72,17,Joseph D Roddy,Aye
2018-2019,72,18,Terry Kennedy,Aye
2018-2019,72,19,Marlene E Davis,Aye
2018-2019,72,22,Jeffrey L Boyd,Aye
2018-2019,72,23,Joseph Vaccaro,Aye
2018-2019,72,24,Scott Ogilvie,Aye
2018-2019,72,25,Shane Cohn,Aye
2018-2019,72,27,Pam Boyd,Aye
2018-2019,72,28,Heather Navarro,Aye
2018-2019,72,President,Lewis E Reed,Aye
2018-2019,72,21,John Collins-Muhammad,Did Not Vote
2018-2019,72,26,Frank Williamson,Did Not Vote
2018-2019,72,20,Cara Spencer,Absent
2018-2019,99,1,Sharon Tyus,Aye
2018-2019,99,2,Lisa Middlebrook,Aye
2018-2019,99,3,Brandon Bosley,Aye
2018-2019,99,4,Samuel L Moore,Aye
2018-2019,99,5,Tammika Hubbard,Aye
2018-2019,99,6,Christine Ingrassia,Aye
2018-2019,99,7,Jack Coatar,Aye
2018-2019,99,8,Annie Rice,Aye
2018-2019,99,9,Dan Guenther,Aye
2018-2019,99,10,Joseph Vollmer,Aye
2018-2019,99,11,Sarah Martin,Aye
2018-2019,99,12,Larry Arnowitz,Aye
2018-2019,99,13,Beth Murphy,Aye
2018-2019,99,14,Carol Howard,Aye
2018-2019,99,15,Megan E. Green,Aye
2018-2019,99,16,Tom Oldenburg,Aye
2018-2019,99,17,Joseph D Roddy,Aye
2018-2019,99,18,Terry Kennedy,Aye
2018-2019,99,19,Marlene E Davis,Aye
2018-2019,99,22,Jeffrey L Boyd,Aye
2018-2019,99,23,Joseph Vaccaro,Aye
2018-2019,99,24,Scott Ogilvie,Aye
2018-2019,99,25,Shane Cohn,Aye
2018-2019,99,27,Pam Boyd,Aye
2018-2019,99,28,Heather Navarro,Aye
2018-2019,99,President,Lewis E Reed,Aye
2018-2019,99,21,John Collins-Muhammad,Did Not Vote
2018-2019,99,26,Frank Williamson,Did Not Vote
2018-2019,99,20,Cara Spencer,Absent
2018-2019,109,1,Sharon Tyus,Aye
2018-2019,109,2,Lisa Middlebrook,Aye
2018-2019,109,3,Brandon Bosley,Aye
2018-2019,109,4,Samuel L Moore,Aye
2018-2019,109,5,Tammika Hubbard,Aye
2018-2019,109,6,Christine Ingrassia,Aye
2018-2019,109,7,Jack Coatar,Aye
2018-2019,109,8,Annie Rice,Aye
2018-2019,109,9,Dan Guenther,Aye
2018-2019,109,10,Joseph Vollmer,Aye
2018-2019,109,11,Sarah Martin,Aye
2018-2019,109,12,Larry Arnowitz,Aye
2018-2019,109,13,Beth Murphy,Aye
2018-2019,109,14,Carol Howard,Aye
2018-2019,109,15,Megan E. Green,Aye
2018-2019,109,16,Tom Oldenburg,Aye
2018-2019,109,17,Joseph D Roddy,Aye
2018-2019,109,18,Terry Kennedy,Aye
2018-2019,109,19,Marlene E Davis,Aye
2018-2019,109,22,Jeffrey L Boyd,Aye
2018-2019,109,23,Joseph Vaccaro,Aye
2018-2019,109,24,Scott Ogilvie,Aye
2018-2019,109,25,Shane Cohn,Aye
2018-2019,109,27,Pam Boyd,Aye
2018-2019,109,28,Heather Navarro,Aye
2018-2019,109,President,Lewis E Reed,Aye
2018-2019,109,21,John Collins-Muhammad,Did Not Vote
2018-2019,109,26,Frank Williamson,Did Not Vote
2018-2019,109,20,Cara Spencer,Absent
2018-2019,114,1,Sharon Tyus,Aye
2018-2019,114,2,Lisa Middlebrook,Aye
2018-2019,114,3,Brandon Bosley,Aye
2018-2019,114,4,Samuel L Moore,Aye
2018-2019,114,5,Tammika Hubbard,Aye
2018-2019,114,6,Christine Ingrassia,Aye
2018-2019,114,7,Jack Coatar,Aye
2018-2019,114,8,Annie Rice,Aye
2018-2019,114,9,Dan Guenther,Aye
2018-2019,114,10,Joseph Vollmer,Aye
2018-2019,114,11,Sarah Martin,Aye
2018-2019,114,12,Larry Arnowitz,Aye
2018-2019,114,13,Beth Murphy,Aye
2018-2019,114,14,Carol Howard,Aye
2018-2019,114,15,Megan E. Green,Aye
2018-2019,114,16,Tom Oldenburg,Aye
2018-2019,114,17,Joseph D Roddy,Aye
2018-2019,114,18,Terry Kennedy,Aye
2018-2019,114,19,Marlene E Davis,Aye
2018-2019,114,22,Jeffrey L Boyd,Aye
2018-2019,114,23,Joseph Vaccaro,Aye
2018-2019,114,24,Scott Ogilvie,Aye
2018-2019,114,25,Shane Cohn,Aye
2018-2019,114,27,Pam Boyd,Aye
2018-2019,114,28,Heather Navarro,Aye
2018-2019,114,President,Lewis E Reed,Aye
2018-2019,114,21,John Collins-Muhammad,Did Not Vote
2018-2019,114,26,Frank Williamson,Did Not Vote
2018-2019,114,20,Cara Spencer,Absent
2018-2019,125,1,Sharon Tyus,Aye
2018-2019,125,2,Lisa Middlebrook,Aye
2018-2019,125,3,Brandon Bosley,Aye
2018-2019,125,4,Samuel L Moore,Aye
2018-2019,125,5,Tammika Hubbard,Aye
2018-2019,125,6,Christine Ingrassia,Aye
2018-2019,125,7,Jack Coatar,Aye
2018-2019,125,8,Annie Rice,Aye
2018-2019,125,9,Dan Guenther,Aye
2018-2019,125,10,Joseph Vollmer,Aye
2018-2019,125,11,Sarah Martin,Aye
2018-2019,125,12,Larry Arnowitz,Aye
2018-2019,125,13,Beth Murphy,Aye
2018-2019,125,14,Carol Howard,Aye
2018-2019,125,15,Megan E. Green,Aye
2018-2019,125,16,Tom Oldenburg,Aye
2018-2019,125,17,Joseph D Roddy,Aye
2018-2019,125,18,Terry Kennedy,Aye
2018-2019,125,19,Marlene E Davis,Aye
2018-2019,125,22,Jeffrey L Boyd,Aye
2018-2019,125,23,Joseph Vaccaro,Aye
2018-2019,125,24,Scott Ogilvie,Aye
2018-2019,125,25,Shane Cohn,Aye
2018-2019,125,27,Pam Boyd,Aye
2018-2019,125,28,Heather Navarro,Aye
2018-2019,125,President,Lewis E Reed,Aye
2018-2019,125,21,John Collins-Muhammad,Did Not Vote
2018-2019,125,26,Frank Williamson,Did Not Vote
2018-2019,125,20,Cara Spencer,Absent
2018-2019,126,1,Sharon Tyus,Aye
2018-2019,126,2,Lisa Middlebrook,Aye
2018-2019,126,3,Brandon Bosley,Aye
2018-2019,126,4,Samuel L Moore,Aye
2018-2019,126,5,Tammika Hubbard,Aye
2018-2019,126,6,Christine Ingrassia,Aye
2018-2019,126,7,Jack Coatar,Aye
2018-2019,126,8,Annie Rice,Aye
2018-2019,126,9,Dan Guenther,Aye
2018-2019,126,10,Joseph Vollmer,Aye
2018-2019,126,11,Sarah Martin,Aye
2018-2019,126,12,Larry Arnowitz,Aye
2018-2019,126,13,Beth Murphy,Aye
2018-2019,126,14,Carol Howard,Aye
2018-2019,126,15,Megan E. Green,Aye
2018-2019,126,16,Tom Oldenburg,Aye
2018-2019,126,17,Joseph D Roddy,Aye
2018-2019,126,18,Terry Kennedy,Aye
2018-2019,126,19,Marlene E Davis,Aye
2018-2019,126,22,Jeffrey L Boyd,Aye
2018-2019,126,23,Joseph Vaccaro,Aye
2018-2019,126,24,Scott Ogilvie,Aye
2018-2019,126,25,Shane Cohn,Aye
2018-2019,126,27,Pam Boyd,Aye
2018-2019,126,28,Heather Navarro,Aye
2018-2019,126,President,Lewis E Reed,Aye
2018-2019,126,21,John Collins-Muhammad,Did Not Vote
2018-2019,126,26,Frank Williamson,Did Not Vote
2018-2019,126,20,Cara Spencer,Absent
2018-2019,127,1,Sharon Tyus,Aye
2018-2019,127,2,Lisa Middlebrook,Aye
2018-2019,127,3,Brandon Bosley,Aye
2018-2019,127,4,Samuel L Moore,Aye
2018-2019,127,5,Tammika Hubbard,Aye
2018-2019,127,6,Christine Ingrassia,Aye
2018-2019,127,7,Jack Coatar,Aye
2018-2019,127,8,Annie Rice,Aye
2018-2019,127,9,Dan Guenther,Aye
2018-2019,127,10,Joseph Vollmer,Aye
2018-2019,127,11,Sarah Martin,Aye
2018-2019,127,12,Larry Arnowitz,Aye
2018-2019,127,13,Beth Murphy,Aye
2018-2019,127,14,Carol Howard,Aye
2018-2019,127,15,Megan E. Green,Aye
2018-2019,127,16,Tom Oldenburg,Aye
2018-2019,127,17,Joseph D Roddy,Aye
2018-2019,127,18,Terry Kennedy,Aye
2018-2019,127,19,Marlene E Davis,Aye
2018-2019,127,22,Jeffrey L Boyd,Aye
2018-2019,127,23,Joseph Vaccaro,Aye
2018-2019,127,24,Scott Ogilvie,Aye
2018-2019,127,25,Shane Cohn,Aye
2018-2019,127,27,Pam Boyd,Aye
2018-2019,127,28,Heather Navarro,Aye
2018-2019,127,President,Lewis E Reed,Aye
2018-2019,127,21,John Collins-Muhammad,Did Not Vote
2018-2019,127,26,Frank Williamson,Did Not Vote
2018-2019,127,20,Cara Spencer,Absent
2018-2019,131,1,Sharon Tyus,Aye
2018-2019,131,2,Lisa Middlebrook,Aye
2018-2019,131,3,Brandon Bosley,Aye
2018-2019,131,4,Samuel L Moore,Aye
2018-2019,131,5,Tammika Hubbard,Aye
2018-2019,131,6,Christine Ingrassia,Aye
2018-2019,131,7,Jack Coatar,Aye
2018-2019,131,8,Annie Rice,Aye
2018-2019,131,9,Dan Guenther,Aye
2018-2019,131,10,Joseph Vollmer,Aye
2018-2019,131,11,Sarah Martin,Aye
2018-2019,131,12,Larry Arnowitz,Aye
2018-2019,131,13,Beth Murphy,Aye
2018-2019,131,14,Carol Howard,Aye
2018-2019,131,15,Megan E. Green,Aye
2018-2019,131,16,Tom Oldenburg,Aye
2018-2019,131,17,Joseph D Roddy,Aye
2018-2019,131,18,Terry Kennedy,Aye
2018-2019,131,19,Marlene E Davis,Aye
2018-2019,131,22,Jeffrey L Boyd,Aye
2018-2019,131,23,Joseph Vaccaro,Aye
2018-2019,131,24,Scott Ogilvie,Aye
2018-2019,131,25,Shane Cohn,Aye
2018-2019,131,27,Pam Boyd,Aye
2018-2019,131,28,Heather Navarro,Aye
2018-2019,131,President,Lewis E Reed,Aye
2018-2019,131,21,John Collins-Muhammad,Did Not Vote
2018-2019,131,26,Frank Williamson,Did Not Vote
2018-2019,131,20,Cara Spencer,Absent
2018-2019,138,1,Sharon Tyus,Aye
2018-2019,138,2,Lisa Middlebrook,Aye
2018-2019,138,3,Brandon Bosley,Aye
2018-2019,138,4,Samuel L Moore,Aye
2018-2019,138,5,Tammika Hubbard,Aye
2018-2019,138,6,Christine Ingrassia,Aye
2018-2019,138,7,Jack Coatar,Aye
2018-2019,138,8,Annie Rice,Aye
2018-2019,138,9,Dan Guenther,Aye
2018-2019,138,10,Joseph Vollmer,Aye
2018-2019,138,11,Sarah Martin,Aye
2018-2019,138,12,Larry Arnowitz,Aye
2018-2019,138,13,Beth Murphy,Aye
2018-2019,138,14,Carol Howard,Aye
2018-2019,138,15,Megan E. Green,Aye
2018-2019,138,16,Tom Oldenburg,Aye
2018-2019,138,17,Joseph D Roddy,Aye
2018-2019,138,18,Terry Kennedy,Aye
2018-2019,138,19,Marlene E Davis,Aye
2018-2019,138,22,Jeffrey L Boyd,Aye
2018-2019,138,23,Joseph Vaccaro,Aye
2018-2019,138,24,Scott Ogilvie,Aye
2018-2019,138,25,Shane Cohn,Aye
2018-2019,138,27,Pam Boyd,Aye
2018-2019,138,28,Heather Navarro,Aye
2018-2019,138,President,Lewis E Reed,Aye
2018-2019,138,21,John Collins-Muhammad,Did Not Vote
2018-2019,138,26,Frank Williamson,Did Not Vote
2018-2019,138,20,Cara Spencer,Absent
2018-2019,160,1,Sharon Tyus,Aye
2018-2019,160,2,Lisa Middlebrook,Aye
2018-2019,160,3,Brandon Bosley,Aye
2018-2019,160,4,Samuel L Moore,Aye
2018-2019,160,5,Tammika Hubbard,Aye
2018-2019,160,6,Christine Ingrassia,Aye
2018-2019,160,7,Jack Coatar,Aye
2018-2019,160,8,Annie Rice,Aye
2018-2019,160,9,Dan Guenther,Aye
2018-2019,160,10,Joseph Vollmer,Aye
2018-2019,160,11,Sarah Martin,Aye
2018-2019,160,12,Larry Arnowitz,Aye
2018-2019,160,13,Beth Murphy,Aye
2018-2019,160,14,Carol Howard,Aye
2018-2019,160,15,Megan E. Green,Aye
2018-2019,160,16,Tom Oldenburg,Aye
2018-2019,160,17,Joseph D Roddy,Aye
2018-2019,160,18,Terry Kennedy,Aye
2018-2019,160,19,Marlene E Davis,Aye
2018-2019,160,22,Jeffrey L Boyd,Aye
2018-2019,160,23,Joseph Vaccaro,Aye
2018-2019,160,24,Scott Ogilvie,Aye
2018-2019,160,25,Shane Cohn,Aye
2018-2019,160,27,Pam Boyd,Aye
2018-2019,160,28,Heather Navarro,Aye
2018-2019,160,President,Lewis E Reed,Aye
2018-2019,160,21,John Collins-Muhammad,Did Not Vote
2018-2019,160,26,Frank Williamson,Did Not Vote
2018-2019,160,20,Cara Spencer,Absent
2018-2019,158,1,Sharon Tyus,Aye
2018-2019,158,2,Lisa Middlebrook,Aye
2018-2019,158,3,Brandon Bosley,Aye
2018-2019,158,4,Samuel L Moore,Aye
2018-2019,158,5,Tammika Hubbard,Aye
2018-2019,158,6,Christine Ingrassia,Aye
2018-2019,158,7,Jack Coatar,Aye
2018-2019,158,8,Annie Rice,Aye
2018-2019,158,9,Dan Guenther,Aye
2018-2019,158,10,Joseph Vollmer,Aye
2018-2019,158,11,Sarah Martin,Aye
2018-2019,158,12,Larry Arnowitz,Aye
2018-2019,158,13,Beth Murphy,Aye
2018-2019,158,14,Carol Howard,Aye
2018-2019,158,15,Megan E. Green,Aye
2018-2019,158,16,Tom Oldenburg,Aye
2018-2019,158,17,Joseph D Roddy,Aye
2018-2019,158,18,Terry Kennedy,Aye
2018-2019,158,19,Marlene E Davis,Aye
2018-2019,158,22,Jeffrey L Boyd,Aye
2018-2019,158,23,Joseph Vaccaro,Aye
2018-2019,158,24,Scott Ogilvie,Aye
2018-2019,158,25,Shane Cohn,Aye
2018-2019,158,27,Pam Boyd,Aye
2018-2019,158,28,Heather Navarro,Aye
2018-2019,158,President,Lewis E Reed,Aye
2018-2019,158,21,John Collins-Muhammad,Did Not Vote
2018-2019,158,26,Frank Williamson,Did Not Vote
2018-2019,158,20,Cara Spencer,Absent
2018-2019,162,1,Sharon Tyus,Aye
2018-2019,162,2,Lisa Middlebrook,Aye
2018-2019,162,3,Brandon Bosley,Aye
2018-2019,162,4,Samuel L Moore,Aye
2018-2019,162,5,Tammika Hubbard,Aye
2018-2019,162,6,Christine Ingrassia,Aye
2018-2019,162,7,Jack Coatar,Aye
2018-2019,162,8,Annie Rice,Aye
2018-2019,162,9,Dan Guenther,Aye
2018-2019,162,10,Joseph Vollmer,Aye
2018-2019,162,11,Sarah Martin,Aye
2018-2019,162,12,Larry Arnowitz,Aye
2018-2019,162,13,Beth Murphy,Aye
2018-2019,162,14,Carol Howard,Aye
2018-2019,162,15,Megan E. Green,Aye
2018-2019,162,16,Tom Oldenburg,Aye
2018-2019,162,17,Joseph D Roddy,Aye
2018-2019,162,18,Terry Kennedy,Aye
2018-2019,162,19,Marlene E Davis,Aye
2018-2019,162,22,Jeffrey L Boyd,Aye
2018-2019,162,23,Joseph Vaccaro,Aye
2018-2019,162,24,Scott Ogilvie,Aye
2018-2019,162,25,Shane Cohn,Aye
2018-2019,162,27,Pam Boyd,Aye
2018-2019,162,28,Heather Navarro,Aye
2018-2019,162,President,Lewis E Reed,Aye
2018-2019,162,21,John Collins-Muhammad,Did Not Vote
2018-2019,162,26,Frank Williamson,Did Not Vote
2018-2019,162,20,Cara Spencer,Absent
2018-2019,168,1,Sharon Tyus,Aye
2018-2019,168,2,Lisa Middlebrook,Aye
2018-2019,168,3,Brandon Bosley,Aye
2018-2019,168,4,Samuel L Moore,Aye
2018-2019,168,5,Tammika Hubbard,Aye
2018-2019,168,6,Christine Ingrassia,Aye
2018-2019,168,7,Jack Coatar,Aye
2018-2019,168,8,Annie Rice,Aye
2018-2019,168,9,Dan Guenther,Aye
2018-2019,168,10,Joseph Vollmer,Aye
2018-2019,168,11,Sarah Martin,Aye
2018-2019,168,12,Larry Arnowitz,Aye
2018-2019,168,13,Beth Murphy,Aye
2018-2019,168,14,Carol Howard,Aye
2018-2019,168,15,Megan E. Green,Aye
2018-2019,168,16,Tom Oldenburg,Aye
2018-2019,168,17,Joseph D Roddy,Aye
2018-2019,168,18,Terry Kennedy,Aye
2018-2019,168,19,Marlene E Davis,Aye
2018-2019,168,22,Jeffrey L Boyd,Aye
2018-2019,168,23,Joseph Vaccaro,Aye
2018-2019,168,24,Scott Ogilvie,Aye
2018-2019,168,25,Shane Cohn,Aye
